uniqueCode,spacebar.keys,spacebar.rt,spacebar2.keys,spacebar2.rt,responses.keys,responses.rt,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop.ran,Loop.order,Immed,Delay,Time,ITI,Left_Choice_Text,Right_Choice_Text,DecisionColor,Prolific ID *,date,expName,psychopyVersion,frameRate,key_resp_2.keys,key_resp_2.rt,slider1.response,slider1.rt,slideKeys.rt,slider2.response,slider2.rt,slideKeys2.rt,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,questions.ran,questions.order
465837,space,1.807,space,0.619,2,1.863,1,0,17,0,1,16,11,25,5,6,$11 now,$25 in 5 days,red,5c7ec09ff123b3001022c20a,2020-03-24_21h54.59.963,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,2,0.881,1,0,17,1,1,16,11,30,11,4,$11 now,$30 in 11 days,red,5c7ec09ff123b3001022c20a,2020-03-24_21h54.59.963,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,1,1.285,1,0,17,2,1,16,12,30,38,4,$30 in 38 days,$12 now,red,5c7ec09ff123b3001022c20a,2020-03-24_21h54.59.963,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,2,1.656,1,0,17,3,1,16,12,35,76,6,$12 now,$35 in 76 days,red,5c7ec09ff123b3001022c20a,2020-03-24_21h54.59.963,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,1,0.97,1,0,17,4,1,16,16,25,113,5,$25 in 113 days,$16 now,red,5c7ec09ff123b3001022c20a,2020-03-24_21h54.59.963,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,1,1.466,1,0,17,5,1,16,16,25,70,6,$25 in 70 days,$16 now,red,5c7ec09ff123b3001022c20a,2020-03-24_21h54.59.963,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,1,3.235,1,0,17,6,1,16,18,30,67,4,$30 in 67 days,$18 now,red,5c7ec09ff123b3001022c20a,2020-03-24_21h54.59.963,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,1,2.087,1,0,17,7,1,16,19,25,20,4,$19 now,$25 in 20 days,red,5c7ec09ff123b3001022c20a,2020-03-24_21h54.59.963,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,1,0.921,1,0,17,8,1,16,21,30,171,4,$21 now,$30 in 171 days,red,5c7ec09ff123b3001022c20a,2020-03-24_21h54.59.963,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,1,0.803,1,0,17,9,1,16,25,35,4,5,$25 now,$35 in 4 days,red,5c7ec09ff123b3001022c20a,2020-03-24_21h54.59.963,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,2,1.322,1,0,17,10,1,16,30,35,3,4,$30 now,$35 in 3 days,red,5c7ec09ff123b3001022c20a,2020-03-24_21h54.59.963,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,2,2.066,1,0,17,11,1,16,32,35,59,4,$35 in 59 days,$32 now,red,5c7ec09ff123b3001022c20a,2020-03-24_21h54.59.963,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,2,1.987,1,0,17,12,1,16,30,35,42,5,$35 in 42 days,$30 now,red,5c7ec09ff123b3001022c20a,2020-03-24_21h54.59.963,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,2,2.475,1,0,17,13,1,16,15,30,158,6,$15 now,$30 in 158 days,red,5c7ec09ff123b3001022c20a,2020-03-24_21h54.59.963,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,2,2.5,1,0,17,14,1,16,31,35,129,4,$35 in 129 days,$31 now,red,5c7ec09ff123b3001022c20a,2020-03-24_21h54.59.963,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,1,2.17,1,0,17,15,1,16,13,35,27,4,$35 in 27 days,$13 now,red,5c7ec09ff123b3001022c20a,2020-03-24_21h54.59.963,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,2,3.201,1,0,17,16,1,16,17,25,9,4,$17 now,$25 in 9 days,red,5c7ec09ff123b3001022c20a,2020-03-24_21h54.59.963,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5c7ec09ff123b3001022c20a,2020-03-24_21h54.59.963,ITC_SDRD_Builder,3.0.7,60,space,1.925,4,150.926,5.314,4,157.038,3.669,1,0,1,0,1,0
