spacebar.keys,spacebar.rt,spacebar2.keys,spacebar2.rt,responses.keys,responses.rt,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop.ran,Loop.order,Immed,Delay,Time,ITI,Left_Choice_Text,Right_Choice_Text,DecisionColor,MTurk ID *,Race (1=White 2=Black 3=Asian 4=Hispanic/Latino 5=Other) *,Sex (1=Male 2=Female 3=Other) *,Age *,date,expName,psychopyVersion,frameRate,key_resp_2.keys,key_resp_2.rt,slider1.response,slider1.rt,slideKeys.rt,slider2.response,slider2.rt,slideKeys2.rt,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,questions.ran,questions.order
space,1.014,space,1.24,1,1.188,1,0,17,0,1,16,11,25,5,6,$11 now,$25 in 5 days,red,Yes,5,5,18,2019-10-14_20h38.48.711,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,2,0.475,1,0,17,1,1,16,11,30,11,4,$11 now,$30 in 11 days,red,Yes,5,5,18,2019-10-14_20h38.48.711,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,1,0.473,1,0,17,2,1,16,12,30,38,4,$30 in 38 days,$12 now,red,Yes,5,5,18,2019-10-14_20h38.48.711,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,2,0.29,1,0,17,3,1,16,12,35,76,6,$12 now,$35 in 76 days,red,Yes,5,5,18,2019-10-14_20h38.48.711,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,2,0.386,1,0,17,4,1,16,16,25,113,5,$25 in 113 days,$16 now,red,Yes,5,5,18,2019-10-14_20h38.48.711,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,1,0.342,1,0,17,5,1,16,16,25,70,6,$25 in 70 days,$16 now,red,Yes,5,5,18,2019-10-14_20h38.48.711,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,2,0.287,1,0,17,6,1,16,18,30,67,4,$30 in 67 days,$18 now,red,Yes,5,5,18,2019-10-14_20h38.48.711,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,,1,0,17,7,1,16,19,25,20,4,$19 now,$25 in 20 days,red,Yes,5,5,18,2019-10-14_20h38.48.711,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,2,1.157,1,0,17,8,1,16,21,30,171,4,$21 now,$30 in 171 days,red,Yes,5,5,18,2019-10-14_20h38.48.711,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,2,0.309,1,0,17,9,1,16,25,35,4,5,$25 now,$35 in 4 days,red,Yes,5,5,18,2019-10-14_20h38.48.711,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,2,0.42,1,0,17,10,1,16,30,35,3,4,$30 now,$35 in 3 days,red,Yes,5,5,18,2019-10-14_20h38.48.711,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,1,0.405,1,0,17,11,1,16,32,35,59,4,$35 in 59 days,$32 now,red,Yes,5,5,18,2019-10-14_20h38.48.711,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,2,0.357,1,0,17,12,1,16,30,35,42,5,$35 in 42 days,$30 now,red,Yes,5,5,18,2019-10-14_20h38.48.711,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,2,0.324,1,0,17,13,1,16,15,30,158,6,$15 now,$30 in 158 days,red,Yes,5,5,18,2019-10-14_20h38.48.711,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,2,0.402,1,0,17,14,1,16,31,35,129,4,$35 in 129 days,$31 now,red,Yes,5,5,18,2019-10-14_20h38.48.711,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,1,0.354,1,0,17,15,1,16,13,35,27,4,$35 in 27 days,$13 now,red,Yes,5,5,18,2019-10-14_20h38.48.711,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,2,0.385,1,0,17,16,1,16,17,25,9,4,$17 now,$25 in 9 days,red,Yes,5,5,18,2019-10-14_20h38.48.711,ITC_SDRD_Builder,3.0.7,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Yes,5,5,18,2019-10-14_20h38.48.711,ITC_SDRD_Builder,3.0.7,60,space,2.704,4,130.83,2.754,4,132.851,1.253,1,0,1,0,1,0
